dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,coverage_start,coverage_end,generated_at,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types,data_layer,projection_policy,series_codes,loss_risk,coverage_status,legacy_gap_fill_count,coverage_ratio_against_legacy
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2019-08-24,2019-08,1,1.0,0,0.00029604186125467373,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2025-12-06,2025-12,124,124.0,0,0.035706489574572516,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2025-12-13,2025-12,78,78.0,0,0.022460533764650452,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2025-12-20,2025-12,145,145.0,0,0.04175355635736302,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2025-12-27,2025-12,62,62.0,0,0.017853244787286258,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-01-03,2026-01,2,2.0,0,0.0005730076265538771,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-01-10,2026-01,106,106.0,0,0.030369404207355486,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-01-17,2026-01,106,106.0,0,0.030369404207355486,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-01-24,2026-01,100,100.0,0,0.028650381327693854,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-01-31,2026-01,47,47.0,0,0.01346567922401611,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-02-07,2026-02,97,97.0,0,0.027790869887863036,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-02-14,2026-02,33,33.0,0,0.009454625838138971,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-02-21,2026-02,71,71.0,0,0.020341770742662635,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-02-28,2026-02,61,60.99999999999999,0,0.017476732609893252,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-03-07,2026-03,48,48.0,0,0.01375218303729305,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-03-14,2026-03,29,29.000000000000004,0,0.008308610585031217,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-03-21,2026-03,86,86.0,0,0.024639327941816714,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-03-28,2026-03,43,43.0,0,0.012319663970908357,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-04-04,2026-04,45,45.0,0,0.012892671597462234,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-04-11,2026-04,54,54.0,0,0.015471205916954682,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-04-18,2026-04,28,28.0,0,0.00802210677175428,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-04-25,2026-04,59,59.0,0,0.016903724983339374,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-05-02,2026-05,68,68.0,0,0.01948225930283182,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-05-09,2026-05,51,51.0,0,0.014611694477123866,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-05-16,2026-05,57,57.0,0,0.0163307173567855,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-05-23,2026-05,3,3.0,0,0.0008595114398308156,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-05-30,2026-05,37,37.0,0,0.010600641091246726,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-06-06,2026-06,49,49.0,0,0.01403868685056999,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-06-13,2026-06,49,49.0,0,0.01403868685056999,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-06-20,2026-06,42,42.0,0,0.012033160157631418,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-06-27,2026-06,23,23.0,0,0.006589587705369587,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-07-04,2026-07,96,96.0,0,0.0275043660745861,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-07-11,2026-07,38,38.0,0,0.010887144904523664,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
disease,D133,carbapenemase-producing-organisms-surveillance,Carbapenemase-producing organisms surveillance,US,United States,D133,Carbapenemase-producing organisms surveillance,产碳青霉烯酶微生物监测,Bacterial,2026-07-18,2026-07,55,55.0,0,0.01575770973023162,wpp_computed,,2019-08-24,2026-07-25,2026-08-01T00:00:00+00:00,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,
